City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
276,San Quintin,MX,73.76,few clouds,30.4833,-115.95,Don Eddie's / Hotel - Restaurant
280,Naze,JP,83.32,overcast clouds,28.3667,129.4833,Shishime Hotel
282,Riberalta,BO,71.8,overcast clouds,-10.9833,-66.1,Hotel Colonial
283,Maceio,BR,76.44,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
285,Lompoc,US,74.84,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
288,Alta Floresta,BR,83.82,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
290,Palmer,US,89.2,few clouds,42.1584,-72.3287,Wedgewood Motel
293,Todos Santos,MX,85.05,broken clouds,23.45,-110.2167,Hotel California Todos Santos
294,Turbat,PK,82.33,overcast clouds,26.0023,63.044,Mubashar Quarters
295,Lejanias,CO,72.48,overcast clouds,3.5251,-74.0216,Hotel Campestre La Contea
297,Suzhou,CN,87.46,overcast clouds,31.3114,120.6181,Holiday Inn Jasmine Suzhou
298,Acarau,BR,77.86,scattered clouds,-2.8856,-40.12,castelo pizzaria
299,Mangrol,IN,80.29,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
300,Moundou,TD,71.69,broken clouds,8.5667,16.0833,Planete Life
301,Eirunepe,BR,72.46,broken clouds,-6.6603,-69.8736,Hotel novo Acre & Comercial Aguiar
302,Saint Anthony,US,73.0,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
303,Kikwit,CD,81.91,scattered clouds,-5.041,18.8162,HOTEL PLACE YALABA
304,Kloulklubed,PW,75.7,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
307,Seoul,KR,79.99,mist,37.5683,126.9778,LOTTE HOTEL SEOUL
309,Petit Goave,HT,84.31,scattered clouds,18.4314,-72.8669,Imperial Suite International
311,Paragominas,BR,79.47,overcast clouds,-2.9667,-47.4833,INOVA
313,Sao Filipe,CV,77.77,overcast clouds,14.8961,-24.4956,Hotel Xaguate
314,Bac Lieu,VN,79.7,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
315,Puerto Penasco,MX,85.91,overcast clouds,31.3167,-113.5333,Playa Bonita Resort
317,Cockburn Town,TC,85.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
318,Port-Gentil,GA,75.06,few clouds,-0.7193,8.7815,Fengshui Residence
319,Kudahuvadhoo,MV,80.96,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
320,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
321,Auki,SB,84.22,very heavy rain,-8.7676,160.7034,Auki Motel
323,Safaga,EG,88.29,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
324,Faanui,PF,78.76,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
325,Sungai Padi,TH,76.82,overcast clouds,6.0851,101.8766,237บอล&บาส
326,Huilong,CN,83.71,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
328,Nizhniy Baskunchak,RU,75.4,overcast clouds,48.2198,46.8311,Arman hotel
330,Abaete,BR,74.55,clear sky,-19.16,-45.4458,Hotel Millenium
331,Chapulhuacan,MX,81.16,broken clouds,21.1667,-98.9,Posada HEIDI
332,Ahmadpur East,PK,82.51,overcast clouds,29.1431,71.2598,Irfan fabrics
333,Piacabucu,BR,71.96,few clouds,-10.4056,-36.4344,Piaçabuçu News
335,Logan,US,84.06,light rain,41.7355,-111.8344,SpringHill Suites by Marriott Logan
340,Touros,BR,76.08,few clouds,-5.1989,-35.4608,INN NEW HORIZON
341,Souillac,MU,71.98,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
343,Gamba,GA,71.67,scattered clouds,-2.65,10.0,
345,Makakilo City,US,88.12,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
346,Chester,US,83.55,clear sky,40.1254,-75.8749,"Holiday Inn Morgantown - Reading Area, an IHG Hotel"
347,Ketchikan,US,73.87,clear sky,55.3422,-131.6461,Snow's Cove Lodge
348,Merauke,ID,76.57,clear sky,-8.4667,140.3333,
349,Gat,IL,77.4,clear sky,31.61,34.7642,OlusHome
351,Murgab,TM,75.07,clear sky,37.4966,61.9714,Wepa Nurlyýew
353,Marsh Harbour,BS,84.67,few clouds,26.5412,-77.0636,Abaco Beach Resort
354,Rabat,MA,71.15,scattered clouds,33.9911,-6.8401,Hôtel Mercure Rabat Sheherazade
